After 10700 steps, rate is 0.00010.  cost is 2.25891, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 10800 steps, rate is 0.00010.  cost is 2.76720, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 10900 steps, rate is 0.00010.  cost is 3.43992, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11000 steps, rate is 0.00010.  cost is 2.49681, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11100 steps, rate is 0.00010.  cost is 2.53988, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11200 steps, rate is 0.00010.  cost is 2.76596, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11300 steps, rate is 0.00010.  cost is 2.15918, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11400 steps, rate is 0.00010.  cost is 2.26314, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11500 steps, rate is 0.00010.  cost is 2.74616, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11600 steps, rate is 0.00010.  cost is 3.16901, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11700 steps, rate is 0.00010.  cost is 2.69380, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11800 steps, rate is 0.00010.  cost is 2.48801, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 11900 steps, rate is 0.00010.  cost is 2.68753, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12000 steps, rate is 0.00010.  cost is 2.33419, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12100 steps, rate is 0.00010.  cost is 2.59009, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12200 steps, rate is 0.00010.  cost is 2.85355, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12300 steps, rate is 0.00010.  cost is 2.07583, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12400 steps, rate is 0.00010.  cost is 2.72839, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12500 steps, rate is 0.00010.  cost is 2.38473, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12600 steps, rate is 0.00010.  cost is 2.87004, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12700 steps, rate is 0.00010.  cost is 2.91032, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12800 steps, rate is 0.00010.  cost is 2.62692, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 12900 steps, rate is 0.00010.  cost is 2.02125, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13000 steps, rate is 0.00010.  cost is 2.91736, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13100 steps, rate is 0.00010.  cost is 2.38014, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13200 steps, rate is 0.00010.  cost is 2.87441, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13300 steps, rate is 0.00010.  cost is 3.01313, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13400 steps, rate is 0.00010.  cost is 2.40703, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13500 steps, rate is 0.00010.  cost is 2.77218, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13600 steps, rate is 0.00010.  cost is 2.58435, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13700 steps, rate is 0.00010.  cost is 2.53741, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13800 steps, rate is 0.00010.  cost is 2.66230, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 13900 steps, rate is 0.00010.  cost is 2.17161, In iterator: 0. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 14000 steps, rate is 0.00010.  cost is 2.49894, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 14100 steps, rate is 0.00010.  cost is 2.53610, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
