After 9300 steps, rate is 0.00010.  cost is 2.98164, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 9400 steps, rate is 0.00010.  cost is 2.35504, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 9500 steps, rate is 0.00010.  cost is 2.43605, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 9600 steps, rate is 0.00010.  cost is 3.10253, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 9700 steps, rate is 0.00010.  cost is 2.70360, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 9800 steps, rate is 0.00010.  cost is 2.91613, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 9900 steps, rate is 0.00010.  cost is 3.13729, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 10000 steps, rate is 0.00010.  cost is 2.78474, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 10100 steps, rate is 0.00010.  cost is 2.81151, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 10200 steps, rate is 0.00010.  cost is 2.60774, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 10300 steps, rate is 0.00010.  cost is 3.02301, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 10400 steps, rate is 0.00010.  cost is 3.10901, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 10500 steps, rate is 0.00010.  cost is 2.67805, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 10600 steps, rate is 0.00010.  cost is 2.56818, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 10700 steps, rate is 0.00010.  cost is 2.73702, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 10800 steps, rate is 0.00010.  cost is 2.73774, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 10900 steps, rate is 0.00010.  cost is 2.86944, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11000 steps, rate is 0.00010.  cost is 2.75178, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11100 steps, rate is 0.00010.  cost is 2.98943, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11200 steps, rate is 0.00010.  cost is 2.60826, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11300 steps, rate is 0.00010.  cost is 2.61519, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11400 steps, rate is 0.00010.  cost is 2.81136, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11500 steps, rate is 0.00010.  cost is 3.02738, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11600 steps, rate is 0.00010.  cost is 2.43153, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11700 steps, rate is 0.00010.  cost is 2.66376, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11800 steps, rate is 0.00010.  cost is 2.81420, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 11900 steps, rate is 0.00010.  cost is 3.24894, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12000 steps, rate is 0.00010.  cost is 2.47112, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12100 steps, rate is 0.00010.  cost is 2.37919, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12200 steps, rate is 0.00010.  cost is 2.07591, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12300 steps, rate is 0.00010.  cost is 2.78022, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12400 steps, rate is 0.00010.  cost is 3.36919, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12500 steps, rate is 0.00010.  cost is 2.40985, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12600 steps, rate is 0.00010.  cost is 3.18553, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12700 steps, rate is 0.00010.  cost is 2.59809, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12800 steps, rate is 0.00010.  cost is 3.06357, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 12900 steps, rate is 0.00010.  cost is 2.75402, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13000 steps, rate is 0.00010.  cost is 3.07146, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13100 steps, rate is 0.00010.  cost is 2.33841, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13200 steps, rate is 0.00010.  cost is 2.22809, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13300 steps, rate is 0.00010.  cost is 2.39633, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13400 steps, rate is 0.00010.  cost is 2.08503, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13500 steps, rate is 0.00010.  cost is 3.34610, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13600 steps, rate is 0.00010.  cost is 3.02222, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13700 steps, rate is 0.00010.  cost is 2.94915, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13800 steps, rate is 0.00010.  cost is 2.18789, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 13900 steps, rate is 0.00010.  cost is 2.51642, In iterator: 0. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14000 steps, rate is 0.00010.  cost is 2.81632, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14100 steps, rate is 0.00010.  cost is 1.93803, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14200 steps, rate is 0.00010.  cost is 2.62019, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14300 steps, rate is 0.00010.  cost is 2.66341, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14400 steps, rate is 0.00010.  cost is 1.96147, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14500 steps, rate is 0.00010.  cost is 2.48415, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14600 steps, rate is 0.00010.  cost is 2.73495, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14700 steps, rate is 0.00010.  cost is 2.42351, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14800 steps, rate is 0.00010.  cost is 2.07283, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 14900 steps, rate is 0.00010.  cost is 1.99573, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 15000 steps, rate is 0.00010.  cost is 2.91984, In iterator: 1. nowCBleu: 0.18453, maxCBlue: 0.18453. nowSBleu: 0.20571, maxSBlue: 0.20571.
After 15100 steps, rate is 0.00010.  cost is 2.13584, In iterator: 1. nowCBleu: 0.22614, maxCBlue: 0.22614. nowSBleu: 0.25267, maxSBlue: 0.25267.
After 15200 steps, rate is 0.00010.  cost is 2.10067, In iterator: 1. nowCBleu: 0.22614, maxCBlue: 0.22614. nowSBleu: 0.25267, maxSBlue: 0.25267.
After 15300 steps, rate is 0.00010.  cost is 2.59927, In iterator: 1. nowCBleu: 0.22614, maxCBlue: 0.22614. nowSBleu: 0.25267, maxSBlue: 0.25267.
