After 10000 steps, rate is 0.00010.  cost is 3.07359, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 10100 steps, rate is 0.00010.  cost is 2.85505, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 10200 steps, rate is 0.00010.  cost is 3.14086, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 10300 steps, rate is 0.00010.  cost is 2.54819, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 10400 steps, rate is 0.00010.  cost is 2.55775, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 10500 steps, rate is 0.00010.  cost is 3.17304, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 10600 steps, rate is 0.00010.  cost is 3.33566, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 10700 steps, rate is 0.00010.  cost is 2.40343, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 10800 steps, rate is 0.00010.  cost is 3.05729, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 10900 steps, rate is 0.00010.  cost is 3.41091, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 11000 steps, rate is 0.00010.  cost is 2.77665, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 11100 steps, rate is 0.00010.  cost is 2.39895, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 11200 steps, rate is 0.00010.  cost is 2.59377, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 11300 steps, rate is 0.00010.  cost is 2.47083, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 11400 steps, rate is 0.00010.  cost is 3.10769, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 11500 steps, rate is 0.00010.  cost is 2.63801, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 11600 steps, rate is 0.00010.  cost is 2.97602, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 11700 steps, rate is 0.00010.  cost is 3.07824, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 11800 steps, rate is 0.00010.  cost is 2.57977, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
